English,Thai
however what does the scripture say   throw out the handmaid and her son  for the son of the handmaid will not inherit with the son of the free woman  ,แต่ พระคัมภีร์ ว่า อย่าง ไร ก็ ว่า `จงไล่ หญิง ทา สี กับ บุตร ชาย ของ นาง ไป เสียเถิด เพราะ ว่า บุตร ชาย ของ หญิง ทา สี จะ เป็น ผู้ รับ มร ดก ร่วม กับ บุตร ชาย ของ หญิง ที่ เป็น ไทย ไม่ ได้ 
so then  brothers  we are not children of a handmaid  but of the free woman ,เหตุ ฉะนั้น พี่น้อง ทั้งหลาย เรา ไม่ ใช่ บุตร ของ หญิง ทา สี แต่ เป็น บุตร ของ หญิง ที่ เป็น ไทย
stand firm therefore in the liberty by which christ has made us free  and don t be entangled again with a yoke of bondage ,การ พึ่ง ใน พระราชบัญญัติ ก็ ทำ ให้ ขาด จาก พระคริสต์ และ หลุด ไป จาก พระคุณ เพื่อ เสรีภาพ นั้น เอง พระ คริสต์ จึง ได้ ทรง โปรด ให้ เรา เป็น ไทย เหตุ ฉะนั้น จงตั้ง มั่น และ อย่า เข้า เทียม แอก เป็น ทาส อีก เลย
knowing that whatever good thing each one does  he will receive the same again from the lord  whether he is bound or free ,เพราะ ท่าน รู้ อยู่แล้ว ว่า ผู้ ใด กระทำ ความ ดี ประการ ใด ผู้ นั้น ก็ จะ ได้ รับ บำเหน็จ อย่าง นั้น จาก องค์ พระผู้ เป็น เจ้า อีก ไม่ว่า เขา จะ เป็น ทาส หรือ เป็น ไทย
where there can t be greek and jew  circumcision and uncircumcision  barbarian  scythian  bondservant  freeman  but christ is all  and in all ,อย่าง นี้ ไม่ เป็น พวก กรีก หรือ พวก ยิว ไม่ เป็น ผู้ ที่ เข้า สุหนัต หรือ ไม่ ได้ เข้า สุหนัต พวก คน ต่าง ชาติ หรือ ชาว สิเธีย ทาส หรือ ไทย ก็ ไม่ เป็น แต่ ว่า พระ คริสต์ ทรง เป็น สารพัด และ ทรง ดำรง อยู่ ใน สารพัด
he causes all  the small and the great  the rich and the poor  and the free and the slave  to be given marks on their right hands  or on their foreheads ,และ มัน ยัง ได้ บังคับ คน ทั้ง ปวง ทั้ง ผู้ ใหญ่ ผู้ น้อย คน มั่งมี และ คน จน ไทย และ ทาส ให้ รับ เครื่องหมาย ไว้ ที่ มือ ขวา หรือ ที่ หน้าผาก ของ เขา
that you may eat the flesh of kings  the flesh of captains  the flesh of mighty men  and the flesh of horses and of those who sit on them  and the flesh of all men  both free and slave  and small and great  ,เพื่อ จะ ได้ กิน เนื้อกษัตริย์ เนื้อ นาย ทหาร เนื้อ คน มี บรรดาศักดิ์ เนื้อม้า และ เนื้อ คน ที่ นั่ง บน ม้า และ เนื้อประชาชน ทั้ง ไทย และ ทาส ทั้ง ผู้ ใหญ่ และ ผู้ น้อย 
but if the servant shall plainly say   i love my master  my wife  and my children  i will not go out free  ,ถ้า ทาส นั้น มา กล่าว เป็น ที่ เข้าใจ ชัดเจน ว่า` ข้าพเจ้า รัก นาย และ ลูก เมีย ของ ข้าพเจ้า ข้าพเจ้า ไม่ อยาก ออก ไป เป็น ไทย 
 if a man strikes his servant s eye  or his maid s eye  and destroys it  he shall let him go free for his eye s sake ,พระราชบัญญัติ เกี่ยว กับ ความ รับผิดชอบ ของ เจ้าของ สัตว์ ถ้า ผู้ ใด ตี นัยน์ตา ของ ทาส ชาย หญิง ให้ บอด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น ให้ เป็น ไทย เนื่อง ด้วย นัยน์ตา ของ เขา
if he strikes out his male servant s tooth  or his female servant s tooth  he shall let him go free for his tooth s sake ,ถ้า ผู้ ใด ทำ ให้ ฟัน ทาส ชาย หญิง หลุด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น เป็น ไทย เนื่อง ด้วย ฟัน ของ เขา
you will know the truth  and the truth will make you free  ,และ ท่าน ทั้งหลาย จะ รู้จัก ความ จริง และ ความ จริง นั้น จะ ทำ ให้ ท่าน ทั้งหลาย เป็น ไทย 
they answered him   we are abraham s seed  and have never been in bondage to anyone  how do you say   you will be made free   ,เขา ทั้งหลาย ทูล ตอบ พระองค์ ว่า เรา สืบ เชื้อสาย มา จาก อับราฮัม และ ไม่ เคย เป็น ทาส ใคร เลย เหตุ ไฉน ท่าน จึง กล่าว ว่า ` ท่าน ทั้งหลาย จะ เป็น ไทย  
if therefore the son makes you free  you will be free indeed ,เหตุ ฉะนั้น ถ้า พระบุตร จะ ทรง กระทำ ให้ ท่าน ทั้งหลาย เป็น ไทย ท่าน ก็ จะ เป็น ไทย จริง ๆ
there is neither jew nor greek  there is neither slave nor free man  there is neither male nor female  for you are all one in christ jesus ,จะ ไม่ เป็น ยิว หรือ ก รีก จะ ไม่ เป็น ทาส หรือ ไทย จะ ไม่ เป็น ชาย หรือ หญิง เพราะ ว่า ท่าน ทั้งหลาย เป็น อัน หนึ่ง อัน เดียว กัน ใน พระเยซู คริสต์
for it is written that abraham had two sons  one by the handmaid  and one by the free woman ,เพราะ มี เขียน ไว้ ว่า อับราฮัม มี บุตร ชาย สอง คน คน หนึ่ง เกิด จาก หญิง ทา สี อีก คน หนึ่ง เกิด จาก หญิง ที่ เป็น ไทย
however  the son by the handmaid was born according to the flesh  but the son by the free woman was born through promise ,บุตร ที่ เกิด จาก หญิง ทา สี นั้น ก็ เกิด ตาม เนื้อหนัง แต่ ส่วน บุตร ที่ เกิด จาก หญิง ที่ เป็น ไทย นั้น เกิด ตาม พระสัญญา
but the jerusalem that is above is free  which is the mother of us all ,แต่ว่า กรุงเยรูซาเล็ม ซึ่ง อยู่ เบื้องบน นั้น เป็น ไทย เป็น มารดา ของ เรา ทั้ง ปวง
however what does the scripture say   throw out the handmaid and her son  for the son of the handmaid will not inherit with the son of the free woman  ,แต่ พระคัมภีร์ ว่า อย่าง ไร ก็ ว่า `จงไล่ หญิง ทา สี กับ บุตร ชาย ของ นาง ไป เสียเถิด เพราะ ว่า บุตร ชาย ของ หญิง ทา สี จะ เป็น ผู้ รับ มร ดก ร่วม กับ บุตร ชาย ของ หญิง ที่ เป็น ไทย ไม่ ได้ 
so then  brothers  we are not children of a handmaid  but of the free woman ,เหตุ ฉะนั้น พี่น้อง ทั้งหลาย เรา ไม่ ใช่ บุตร ของ หญิง ทา สี แต่ เป็น บุตร ของ หญิง ที่ เป็น ไทย
stand firm therefore in the liberty by which christ has made us free  and don t be entangled again with a yoke of bondage ,การ พึ่ง ใน พระราชบัญญัติ ก็ ทำ ให้ ขาด จาก พระคริสต์ และ หลุด ไป จาก พระคุณ เพื่อ เสรีภาพ นั้น เอง พระ คริสต์ จึง ได้ ทรง โปรด ให้ เรา เป็น ไทย เหตุ ฉะนั้น จงตั้ง มั่น และ อย่า เข้า เทียม แอก เป็น ทาส อีก เลย
knowing that whatever good thing each one does  he will receive the same again from the lord  whether he is bound or free ,เพราะ ท่าน รู้ อยู่แล้ว ว่า ผู้ ใด กระทำ ความ ดี ประการ ใด ผู้ นั้น ก็ จะ ได้ รับ บำเหน็จ อย่าง นั้น จาก องค์ พระผู้ เป็น เจ้า อีก ไม่ว่า เขา จะ เป็น ทาส หรือ เป็น ไทย
where there can t be greek and jew  circumcision and uncircumcision  barbarian  scythian  bondservant  freeman  but christ is all  and in all ,อย่าง นี้ ไม่ เป็น พวก กรีก หรือ พวก ยิว ไม่ เป็น ผู้ ที่ เข้า สุหนัต หรือ ไม่ ได้ เข้า สุหนัต พวก คน ต่าง ชาติ หรือ ชาว สิเธีย ทาส หรือ ไทย ก็ ไม่ เป็น แต่ ว่า พระ คริสต์ ทรง เป็น สารพัด และ ทรง ดำรง อยู่ ใน สารพัด
he causes all  the small and the great  the rich and the poor  and the free and the slave  to be given marks on their right hands  or on their foreheads ,และ มัน ยัง ได้ บังคับ คน ทั้ง ปวง ทั้ง ผู้ ใหญ่ ผู้ น้อย คน มั่งมี และ คน จน ไทย และ ทาส ให้ รับ เครื่องหมาย ไว้ ที่ มือ ขวา หรือ ที่ หน้าผาก ของ เขา
that you may eat the flesh of kings  the flesh of captains  the flesh of mighty men  and the flesh of horses and of those who sit on them  and the flesh of all men  both free and slave  and small and great  ,เพื่อ จะ ได้ กิน เนื้อกษัตริย์ เนื้อ นาย ทหาร เนื้อ คน มี บรรดาศักดิ์ เนื้อม้า และ เนื้อ คน ที่ นั่ง บน ม้า และ เนื้อประชาชน ทั้ง ไทย และ ทาส ทั้ง ผู้ ใหญ่ และ ผู้ น้อย 
and if the servant shall plainly say  i love my master  my wife  and my children  i will not go out free ,ถ้า ทาส นั้น มา กล่าว เป็น ที่ เข้าใจ ชัดเจน ว่า` ข้าพเจ้า รัก นาย และ ลูก เมีย ของ ข้าพเจ้า ข้าพเจ้า ไม่ อยาก ออก ไป เป็น ไทย 
and if a man smite the eye of his servant  or the eye of his maid  that it perish  he shall let him go free for his eye s sake ,พระราชบัญญัติ เกี่ยว กับ ความ รับผิดชอบ ของ เจ้าของ สัตว์ ถ้า ผู้ ใด ตี นัยน์ตา ของ ทาส ชาย หญิง ให้ บอด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น ให้ เป็น ไทย เนื่อง ด้วย นัยน์ตา ของ เขา
and if he smite out his manservant s tooth  or his maidservant s tooth  he shall let him go free for his tooth s sake ,ถ้า ผู้ ใด ทำ ให้ ฟัน ทาส ชาย หญิง หลุด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น เป็น ไทย เนื่อง ด้วย ฟัน ของ เขา
and ye shall know the truth  and the truth shall make you free ,และ ท่าน ทั้งหลาย จะ รู้จัก ความ จริง และ ความ จริง นั้น จะ ทำ ให้ ท่าน ทั้งหลาย เป็น ไทย 
they answered him  we be abraham s seed  and were never in bondage to any man  how sayest thou  ye shall be made free ,เขา ทั้งหลาย ทูล ตอบ พระองค์ ว่า เรา สืบ เชื้อสาย มา จาก อับราฮัม และ ไม่ เคย เป็น ทาส ใคร เลย เหตุ ไฉน ท่าน จึง กล่าว ว่า ` ท่าน ทั้งหลาย จะ เป็น ไทย  
if the son therefore shall make you free  ye shall be free indeed ,เหตุ ฉะนั้น ถ้า พระบุตร จะ ทรง กระทำ ให้ ท่าน ทั้งหลาย เป็น ไทย ท่าน ก็ จะ เป็น ไทย จริง ๆ
there is neither jew nor greek  there is neither bond nor free  there is neither male nor female  for ye are all one in christ jesus ,จะ ไม่ เป็น ยิว หรือ ก รีก จะ ไม่ เป็น ทาส หรือ ไทย จะ ไม่ เป็น ชาย หรือ หญิง เพราะ ว่า ท่าน ทั้งหลาย เป็น อัน หนึ่ง อัน เดียว กัน ใน พระเยซู คริสต์
for it is written  that abraham had two sons  the one by a bondmaid  the other by a freewoman ,เพราะ มี เขียน ไว้ ว่า อับราฮัม มี บุตร ชาย สอง คน คน หนึ่ง เกิด จาก หญิง ทา สี อีก คน หนึ่ง เกิด จาก หญิง ที่ เป็น ไทย
but he who was of the bondwoman was born after the flesh  but he of the freewoman was by promise ,บุตร ที่ เกิด จาก หญิง ทา สี นั้น ก็ เกิด ตาม เนื้อหนัง แต่ ส่วน บุตร ที่ เกิด จาก หญิง ที่ เป็น ไทย นั้น เกิด ตาม พระสัญญา
but jerusalem which is above is free  which is the mother of us all ,แต่ว่า กรุงเยรูซาเล็ม ซึ่ง อยู่ เบื้องบน นั้น เป็น ไทย เป็น มารดา ของ เรา ทั้ง ปวง
nevertheless what saith the scripture  cast out the bondwoman and her son  for the son of the bondwoman shall not be heir with the son of the freewoman ,แต่ พระคัมภีร์ ว่า อย่าง ไร ก็ ว่า `จงไล่ หญิง ทา สี กับ บุตร ชาย ของ นาง ไป เสียเถิด เพราะ ว่า บุตร ชาย ของ หญิง ทา สี จะ เป็น ผู้ รับ มร ดก ร่วม กับ บุตร ชาย ของ หญิง ที่ เป็น ไทย ไม่ ได้ 
so then  brethren  we are not children of the bondwoman  but of the free ,เหตุ ฉะนั้น พี่น้อง ทั้งหลาย เรา ไม่ ใช่ บุตร ของ หญิง ทา สี แต่ เป็น บุตร ของ หญิง ที่ เป็น ไทย
stand fast therefore in the liberty wherewith christ hath made us free  and be not entangled again with the yoke of bondage ,การ พึ่ง ใน พระราชบัญญัติ ก็ ทำ ให้ ขาด จาก พระคริสต์ และ หลุด ไป จาก พระคุณ เพื่อ เสรีภาพ นั้น เอง พระ คริสต์ จึง ได้ ทรง โปรด ให้ เรา เป็น ไทย เหตุ ฉะนั้น จงตั้ง มั่น และ อย่า เข้า เทียม แอก เป็น ทาส อีก เลย
knowing that whatsoever good thing any man doeth  the same shall he receive of the lord  whether he be bond or free ,เพราะ ท่าน รู้ อยู่แล้ว ว่า ผู้ ใด กระทำ ความ ดี ประการ ใด ผู้ นั้น ก็ จะ ได้ รับ บำเหน็จ อย่าง นั้น จาก องค์ พระผู้ เป็น เจ้า อีก ไม่ว่า เขา จะ เป็น ทาส หรือ เป็น ไทย
where there is neither greek nor jew  circumcision nor uncircumcision  barbarian  scythian  bond nor free  but christ is all  and in all ,อย่าง นี้ ไม่ เป็น พวก กรีก หรือ พวก ยิว ไม่ เป็น ผู้ ที่ เข้า สุหนัต หรือ ไม่ ได้ เข้า สุหนัต พวก คน ต่าง ชาติ หรือ ชาว สิเธีย ทาส หรือ ไทย ก็ ไม่ เป็น แต่ ว่า พระ คริสต์ ทรง เป็น สารพัด และ ทรง ดำรง อยู่ ใน สารพัด
and he causeth all  both small and great  rich and poor  free and bond  to receive a mark in their right hand  or in their foreheads ,และ มัน ยัง ได้ บังคับ คน ทั้ง ปวง ทั้ง ผู้ ใหญ่ ผู้ น้อย คน มั่งมี และ คน จน ไทย และ ทาส ให้ รับ เครื่องหมาย ไว้ ที่ มือ ขวา หรือ ที่ หน้าผาก ของ เขา
that ye may eat the flesh of kings  and the flesh of captains  and the flesh of mighty men  and the flesh of horses  and of them that sit on them  and the flesh of all men  both free and bond  both small and great ,เพื่อ จะ ได้ กิน เนื้อกษัตริย์ เนื้อ นาย ทหาร เนื้อ คน มี บรรดาศักดิ์ เนื้อม้า และ เนื้อ คน ที่ นั่ง บน ม้า และ เนื้อประชาชน ทั้ง ไทย และ ทาส ทั้ง ผู้ ใหญ่ และ ผู้ น้อย 
and if the servant shall plainly say  i love my master  my wife  and my children  i will not go out free ,ถ้า ทาส นั้น มา กล่าว เป็น ที่ เข้าใจ ชัดเจน ว่า` ข้าพเจ้า รัก นาย และ ลูก เมีย ของ ข้าพเจ้า ข้าพเจ้า ไม่ อยาก ออก ไป เป็น ไทย 
and if a man smite the eye of his servant  or the eye of his maid  that it perish  he shall let him go free for his eye s sake ,พระราชบัญญัติ เกี่ยว กับ ความ รับผิดชอบ ของ เจ้าของ สัตว์ ถ้า ผู้ ใด ตี นัยน์ตา ของ ทาส ชาย หญิง ให้ บอด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น ให้ เป็น ไทย เนื่อง ด้วย นัยน์ตา ของ เขา
and if he smite out his manservant s tooth  or his maidservant s tooth  he shall let him go free for his tooth s sake ,ถ้า ผู้ ใด ทำ ให้ ฟัน ทาส ชาย หญิง หลุด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น เป็น ไทย เนื่อง ด้วย ฟัน ของ เขา
and ye shall know the truth  and the truth shall make you free ,และ ท่าน ทั้งหลาย จะ รู้จัก ความ จริง และ ความ จริง นั้น จะ ทำ ให้ ท่าน ทั้งหลาย เป็น ไทย 
they answered him  we be abraham s seed  and were never in bondage to any man  how sayest thou  ye shall be made free ,เขา ทั้งหลาย ทูล ตอบ พระองค์ ว่า เรา สืบ เชื้อสาย มา จาก อับราฮัม และ ไม่ เคย เป็น ทาส ใคร เลย เหตุ ไฉน ท่าน จึง กล่าว ว่า ` ท่าน ทั้งหลาย จะ เป็น ไทย  
if the son therefore shall make you free  ye shall be free indeed ,เหตุ ฉะนั้น ถ้า พระบุตร จะ ทรง กระทำ ให้ ท่าน ทั้งหลาย เป็น ไทย ท่าน ก็ จะ เป็น ไทย จริง ๆ
there is neither jew nor greek  there is neither bond nor free  there is neither male nor female  for ye are all one in christ jesus ,จะ ไม่ เป็น ยิว หรือ ก รีก จะ ไม่ เป็น ทาส หรือ ไทย จะ ไม่ เป็น ชาย หรือ หญิง เพราะ ว่า ท่าน ทั้งหลาย เป็น อัน หนึ่ง อัน เดียว กัน ใน พระเยซู คริสต์
for it is written  that abraham had two sons  the one by a bondmaid  the other by a freewoman ,เพราะ มี เขียน ไว้ ว่า อับราฮัม มี บุตร ชาย สอง คน คน หนึ่ง เกิด จาก หญิง ทา สี อีก คน หนึ่ง เกิด จาก หญิง ที่ เป็น ไทย
but he who was of the bondwoman was born after the flesh  but he of the freewoman was by promise ,บุตร ที่ เกิด จาก หญิง ทา สี นั้น ก็ เกิด ตาม เนื้อหนัง แต่ ส่วน บุตร ที่ เกิด จาก หญิง ที่ เป็น ไทย นั้น เกิด ตาม พระสัญญา
but jerusalem which is above is free  which is the mother of us all ,แต่ว่า กรุงเยรูซาเล็ม ซึ่ง อยู่ เบื้องบน นั้น เป็น ไทย เป็น มารดา ของ เรา ทั้ง ปวง
nevertheless what saith the scripture  cast out the bondwoman and her son  for the son of the bondwoman shall not be heir with the son of the freewoman ,แต่ พระคัมภีร์ ว่า อย่าง ไร ก็ ว่า `จงไล่ หญิง ทา สี กับ บุตร ชาย ของ นาง ไป เสียเถิด เพราะ ว่า บุตร ชาย ของ หญิง ทา สี จะ เป็น ผู้ รับ มร ดก ร่วม กับ บุตร ชาย ของ หญิง ที่ เป็น ไทย ไม่ ได้ 
so then  brethren  we are not children of the bondwoman  but of the free ,เหตุ ฉะนั้น พี่น้อง ทั้งหลาย เรา ไม่ ใช่ บุตร ของ หญิง ทา สี แต่ เป็น บุตร ของ หญิง ที่ เป็น ไทย
stand fast therefore in the liberty wherewith christ hath made us free  and be not entangled again with the yoke of bondage ,การ พึ่ง ใน พระราชบัญญัติ ก็ ทำ ให้ ขาด จาก พระคริสต์ และ หลุด ไป จาก พระคุณ เพื่อ เสรีภาพ นั้น เอง พระ คริสต์ จึง ได้ ทรง โปรด ให้ เรา เป็น ไทย เหตุ ฉะนั้น จงตั้ง มั่น และ อย่า เข้า เทียม แอก เป็น ทาส อีก เลย
knowing that whatsoever good thing any man doeth  the same shall he receive of the lord  whether he be bond or free ,เพราะ ท่าน รู้ อยู่แล้ว ว่า ผู้ ใด กระทำ ความ ดี ประการ ใด ผู้ นั้น ก็ จะ ได้ รับ บำเหน็จ อย่าง นั้น จาก องค์ พระผู้ เป็น เจ้า อีก ไม่ว่า เขา จะ เป็น ทาส หรือ เป็น ไทย
where there is neither greek nor jew  circumcision nor uncircumcision  barbarian  scythian  bond nor free  but christ is all  and in all ,อย่าง นี้ ไม่ เป็น พวก กรีก หรือ พวก ยิว ไม่ เป็น ผู้ ที่ เข้า สุหนัต หรือ ไม่ ได้ เข้า สุหนัต พวก คน ต่าง ชาติ หรือ ชาว สิเธีย ทาส หรือ ไทย ก็ ไม่ เป็น แต่ ว่า พระ คริสต์ ทรง เป็น สารพัด และ ทรง ดำรง อยู่ ใน สารพัด
and he causeth all  both small and great  rich and poor  free and bond  to receive a mark in their right hand  or in their foreheads ,และ มัน ยัง ได้ บังคับ คน ทั้ง ปวง ทั้ง ผู้ ใหญ่ ผู้ น้อย คน มั่งมี และ คน จน ไทย และ ทาส ให้ รับ เครื่องหมาย ไว้ ที่ มือ ขวา หรือ ที่ หน้าผาก ของ เขา
that ye may eat the flesh of kings  and the flesh of captains  and the flesh of mighty men  and the flesh of horses  and of them that sit on them  and the flesh of all men  both free and bond  both small and great ,เพื่อ จะ ได้ กิน เนื้อกษัตริย์ เนื้อ นาย ทหาร เนื้อ คน มี บรรดาศักดิ์ เนื้อม้า และ เนื้อ คน ที่ นั่ง บน ม้า และ เนื้อประชาชน ทั้ง ไทย และ ทาส ทั้ง ผู้ ใหญ่ และ ผู้ น้อย 
the orientals prefer it another way ,จาก​ การ​ สำรวจ ​นานา​ชาติ​ โดย ​ สำนัก ​จัด​ การ​ และ​ ประสาน​งาน​ ใน ​ญี่ปุ่น ผู้​ สูง ​อายุ​ ส่วน ​ ใหญ่​ ใน ​ ญี่ปุ่น​ และ ​ ประเทศ​ ไทย ​ ต้องการ ​ จะ ​อยู่​ กับ ​ ญาติ 
according to an international survey by the management and coordination agency in japan  the majority of the elderly in japan and thailand want to live with their kin ,การ ​ สำรวจ ​ พบ​ ว่า 60 เปอร์เซ็นต์​ของ​ผู้​ สูง ​อายุ​ ใน ​ ประเทศ​ไทย​ และ 51 เปอร์เซ็นต์​ ใน ​ ญี่ปุ่น ​ กระทำ ​เช่น ​ นั้น​ จริง 
most of my buddies in the squadron were on assignments that took them to vietnam  thailand  japan  and the philippines ,เพื่อ น​ ผม​ ส่วน ​ ใหญ่​ ใน ​ กองร้อย​ ได้ ​ รับ​มอบหมาย​ ให้ ​ ไป ​ ยัง ​ ประเทศ​ เวียดนาม ไทย ญี่ปุ่น และ ​ ฟิลิปปินส์ 
we were happy to see each other and immediately devised a plan to smuggle drugs out of thailand ,เรา ​ ต่าง ​ ดีใจ​ ที่​ ได้ ​ พบ​ กัน แล้ว ​ ก็​วาง​ แผน ​ ทันที​ ที่​ จะ ​ ลักลอบ​ยา​เสพย์ติด ​ออก​ จาก ​ ประเทศ​ ไทย 
,เรา ​ ปลอม​ ตัว ​ เป็น ​ นาย​ทหาร​เพื่อ​ จะ ​ เข้า ​ ประเทศ​ ไทย เนื่อง​ จาก ​ เรา ​ มี​บัตร​ ประจำ ​ ตัว ​ปลอมมี​ ใบ​ลา​ ปลอมมี​ เครื่องแบบ และ ​ อื่น ๆ อีก 
we were greeted by one of the kingpins of the drug trade in thailand ,ราชา​ค้า​ยา​เสพย์ติด​ ของ​ ไทย​ คน​หนึ่ง​ ได้ ​ ออก​มา​ ต้อนรับ ​ เรา 
a colonel in the thai police force was holding a  38 revolver to my head and said very calmly   please  do not try to resist me  ,ตำรวจ​ ไทย​ยศ​นาย​ พัน​ คน​ หนึ่ง ​ กำลัง ​ เล็ง ​ ปืน ​ลูก​โม่ 38มา​ ที่ ​ ศีรษะ ​ ของ​ผม แล้ว ​ พูด ​ ด้วย​ น้ำ ​ เสียง ​ ราบ​ เรียบ​ว่าโปรด ​อย่า​ ขัด ​ ขืน  
,ปัจจุบัน ผู้ ​อาสา​ สมัคร ​ ก่อ​ สร้าง ​ ระดับ ​ นานา​ชาติ​ กำลัง ​ ทำ​ งาน​ ใน ​ โครงการ​ ก่อ​ สร้าง ​ สำนักงาน​ สาขา​ ใน ​ โคลัมเบีย  เปอร์โตริโก  แซมเบีย  บราซิล  อังกฤษ  แคนาดา  สาธารณรัฐ ​โดมินิ กัน  เอกวาดอร์  โปแลนด์  กัว​เดอ​ลู​ป ไทยหมู่​ เกาะ​ลีวาร์ดบาฮามา สซามัว​ ตะวัน ​ตกตา​ฮิ​ ติหมู่​ เกาะ​โซโลมอน เวเน​ ซู​ เอลา  เกาหลี​ ใต้  แอฟริกา​ ใต้  และ ​ เยอรมนี 
,กอง ​วิจัย​ และ ​ สถิติ​ แห่ง ​กระทรวง​มหาดไทย​ ของ ​ อังกฤษ​ ได้ ​ รายงาน​ ตัว ​ เลข​บาง​ อย่าง​ ที่ ​ ทำ ​ ให้ ​ ตกตะลึง ​ เกี่ยว​ กับ ​ อาชญากรรม​ ใน ​ ประเทศ ​ นั้น 
most felt it would be somewhere in the far east  perhaps thailand ,ส่วน ​ ใหญ่ ​ รู้สึก ​ว่า​ คง​ จะ ​เป็น​ ที่​ไหน​สัก​แห่ง​ ใน ​ ตะวัน ​ ออก ​ ไกล บาง​ที​อาจ ​ เป็น ​ ประเทศ​ ไทย 
before reaching the capital  bangkok  our train turned west onto a branch line and arrived at kanchanaburi  near the burma  now myanmar  border ,ใน ​ สิงคโปร์ เรา ​ ถูก ​ต้อน​ ขึ้น ​ รถไฟ ​ และ ​ขนส่ง​ต่อ​ไป ​ เกือบ 1  600 กิโลเมตร เข้า ​ สู่​ ประเทศ ​ สยาม​  ปัจจุบัน ​ คือ​ ประเทศ​ ไทย  
,หลัง​ จาก ​ ทาง ​ รถไฟ​ ถูก ​สร้าง​ เสร็จเรา ​ ก็​ ได้ ​ เจาะ​ปล่อง​ปืน​ กล ​ เข้า ​ ไป​ ใน ​ฐาน​ ของ ​ด่าน​ เจดีย์ ​ สาม ​องค์​ ซึ่ง ​ อยู่​ตรง​ ชาย แดน​ ระหว่าง​ ไทย ​พม่า 
